Date (WET),Dynamic FFR Biomass,Dynamic FFR CCGT,Dynamic FFR Coal,Dynamic FFR Distributed Generation,Dynamic FFR Hybrid,Dynamic FFR Hydro,Dynamic FFR Load Response,Dynamic FFR Pumped,Dynamic FFR Storage,Dynamic FFR Unknown,DLH Storage,Dynamic Containment Storage,EFR Storage
,GBP/MW/h,GBP/MW/h,GBP/MW/h,GBP/MW/h,GBP/MW/h,GBP/MW/h,GBP/MW/h,GBP/MW/h,GBP/MW/h,GBP/MW/h,GBP/MW/h,GBP/MW/h,GBP/MW/h
[20/10/2018 02:00],,,,,16.77,,7.12,,12.88,17.20,13.41,13.41,9.78
[20/10/2018 02:30],,,,,16.77,,7.12,,12.88,17.20,13.41,13.41,9.78
[20/10/2018 03:00],,,,,16.77,,7.12,,12.88,17.20,13.41,13.41,9.78
[20/10/2018 03:30],,,,,16.77,,7.12,,12.88,17.20,13.41,13.41,9.78
[20/10/2018 04:00],,,,,16.77,,7.12,,12.88,17.20,13.41,13.41,9.78
[20/10/2018 04:30],,,,,16.77,,7.12,,12.88,17.20,13.41,13.41,9.78
[20/10/2018 05:00],,,,,16.77,,7.12,,12.88,17.20,13.41,13.41,9.78
[20/10/2018 05:30],,,,,16.77,,7.12,,12.88,17.20,13.41,13.41,9.78
[20/10/2018 06:00],,,,,16.77,,7.12,,12.88,17.20,13.41,13.41,9.78
[20/10/2018 06:30],,,,,16.77,,7.12,,13.03,17.20,13.54,13.54,9.78
[20/10/2018 07:00],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[20/10/2018 07:30],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[20/10/2018 08:00],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[20/10/2018 08:30],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[20/10/2018 09:00],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[20/10/2018 09:30],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[20/10/2018 10:00],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[20/10/2018 10:30],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[20/10/2018 11:00],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[20/10/2018 11:30],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[20/10/2018 12:00],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[20/10/2018 12:30],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[20/10/2018 13:00],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[20/10/2018 13:30],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[20/10/2018 14:00],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[20/10/2018 14:30],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[20/10/2018 15:00],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[20/10/2018 15:30],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[20/10/2018 16:00],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[20/10/2018 16:30],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[20/10/2018 17:00],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[20/10/2018 17:30],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[20/10/2018 18:00],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[20/10/2018 18:30],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[20/10/2018 19:00],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[20/10/2018 19:30],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[20/10/2018 20:00],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[20/10/2018 20:30],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[20/10/2018 21:00],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[20/10/2018 21:30],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[20/10/2018 22:00],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[20/10/2018 22:30],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[20/10/2018 23:00],,,,,16.77,,7.12,,12.88,17.20,13.41,13.41,9.78
[20/10/2018 23:30],,,,,16.77,,7.12,,12.88,17.20,13.41,13.41,9.78
[21/10/2018 00:00],,,,,16.77,,7.12,,12.88,17.20,13.41,13.41,9.78
[21/10/2018 00:30],,,,,16.77,,7.12,,12.88,17.20,13.41,13.41,9.78
[21/10/2018 01:00],,,,,16.77,,7.12,,12.88,17.20,13.41,13.41,9.78
[21/10/2018 01:30],,,,,16.77,,7.12,,12.88,17.20,13.41,13.41,9.78
[21/10/2018 02:00],,,,,16.77,,7.12,,12.88,17.20,13.41,13.41,9.78
[21/10/2018 02:30],,,,,16.77,,7.12,,12.88,17.20,13.41,13.41,9.78
[21/10/2018 03:00],,,,,16.77,,7.12,,12.88,17.20,13.41,13.41,9.78
[21/10/2018 03:30],,,,,16.77,,7.12,,12.88,17.20,13.41,13.41,9.78
[21/10/2018 04:00],,,,,16.77,,7.12,,12.88,17.20,13.41,13.41,9.78
[21/10/2018 04:30],,,,,16.77,,7.12,,12.88,17.20,13.41,13.41,9.78
[21/10/2018 05:00],,,,,16.77,,7.12,,12.88,17.20,13.41,13.41,9.78
[21/10/2018 05:30],,,,,16.77,,7.12,,12.88,17.20,13.41,13.41,9.78
[21/10/2018 06:00],,,,,16.77,,7.12,,12.88,17.20,13.41,13.41,9.78
[21/10/2018 06:30],,,,,16.77,,7.12,,13.03,17.20,13.54,13.54,9.78
[21/10/2018 07:00],,,,,16.77,,7.22,,13.55,17.20,13.84,13.84,9.78
[21/10/2018 07:30],,,,,16.77,,7.22,,13.55,17.20,13.84,13.84,9.78
[21/10/2018 08:00],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[21/10/2018 08:30],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[21/10/2018 09:00],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[21/10/2018 09:30],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[21/10/2018 10:00],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[21/10/2018 10:30],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[21/10/2018 11:00],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[21/10/2018 11:30],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[21/10/2018 12:00],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[21/10/2018 12:30],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[21/10/2018 13:00],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[21/10/2018 13:30],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[21/10/2018 14:00],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[21/10/2018 14:30],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[21/10/2018 15:00],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[21/10/2018 15:30],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[21/10/2018 16:00],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[21/10/2018 16:30],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[21/10/2018 17:00],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[21/10/2018 17:30],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[21/10/2018 18:00],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[21/10/2018 18:30],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[21/10/2018 19:00],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[21/10/2018 19:30],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[21/10/2018 20:00],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[21/10/2018 20:30],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[21/10/2018 21:00],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[21/10/2018 21:30],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[21/10/2018 22:00],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[21/10/2018 22:30],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[21/10/2018 23:00],,,,,16.77,,7.12,,12.88,17.20,13.41,13.41,9.78
[21/10/2018 23:30],,,,,16.77,,7.12,,12.88,17.20,13.41,13.41,9.78
[22/10/2018 00:00],,,,,16.77,,7.40,,12.88,17.20,13.45,13.45,9.78
[22/10/2018 00:30],,,,,16.77,,7.40,,12.88,17.20,13.45,13.45,9.78
[22/10/2018 01:00],,,,,16.77,,7.40,,12.88,17.20,13.45,13.45,9.78
[22/10/2018 01:30],,,,,16.77,,7.40,,12.88,17.20,13.45,13.45,9.78
[22/10/2018 02:00],,,,,16.77,,7.40,,12.88,17.20,13.45,13.45,9.78
[22/10/2018 02:30],,,,,16.77,,7.40,,12.88,17.20,13.45,13.45,9.78
[22/10/2018 03:00],,,,,16.77,,7.40,,12.88,17.20,13.45,13.45,9.78
[22/10/2018 03:30],,,,,16.77,,7.40,,12.88,17.20,13.45,13.45,9.78
[22/10/2018 04:00],,,,,16.77,,7.40,,12.88,17.20,13.45,13.45,9.78
[22/10/2018 04:30],,,,,16.77,,7.40,,12.88,17.20,13.45,13.45,9.78
[22/10/2018 05:00],,,,,16.77,,7.40,,12.88,17.20,13.45,13.45,9.78
[22/10/2018 05:30],,,,,16.77,,7.40,,12.88,17.20,13.45,13.45,9.78
[22/10/2018 06:00],,,,,16.77,,7.40,,12.88,17.20,13.45,13.45,9.78
[22/10/2018 06:30],,,,,16.77,,7.40,14.71,13.03,17.20,13.63,13.63,9.78
[22/10/2018 07:00],,,,,16.77,,7.16,14.71,13.55,17.20,13.88,13.88,9.78
[22/10/2018 07:30],,,,,16.77,,7.16,14.71,13.55,17.20,13.88,13.88,9.78
[22/10/2018 08:00],,,,,16.77,,7.16,14.71,13.55,17.20,13.88,13.88,9.78
[22/10/2018 08:30],,,,,16.77,,7.16,14.71,13.55,17.20,13.88,13.88,9.78
[22/10/2018 09:00],,,,,16.77,,7.16,14.71,13.55,17.20,13.88,13.88,9.78
[22/10/2018 09:30],,,,,16.77,,7.16,14.71,13.55,17.20,13.88,13.88,9.78
[22/10/2018 10:00],,,,,16.77,,7.16,14.71,13.55,17.20,13.88,13.88,9.78
[22/10/2018 10:30],,,,,16.77,,7.16,14.71,13.55,17.20,13.88,13.88,9.78
[22/10/2018 11:00],,,,,16.77,,7.16,14.71,13.55,17.20,13.88,13.88,9.78
[22/10/2018 11:30],,,,,16.77,,7.16,14.71,13.55,17.20,13.88,13.88,9.78
[22/10/2018 12:00],,,,,16.77,,7.16,14.71,13.55,17.20,13.88,13.88,9.78
[22/10/2018 12:30],,,,,16.77,,7.16,14.71,13.55,17.20,13.88,13.88,9.78
[22/10/2018 13:00],,,,,16.77,,7.16,14.71,13.55,17.20,13.88,13.88,9.78
[22/10/2018 13:30],,,,,16.77,,7.16,14.71,13.55,17.20,13.88,13.88,9.78
[22/10/2018 14:00],,,,,16.77,,7.16,14.71,13.55,17.20,13.88,13.88,9.78
[22/10/2018 14:30],,,,,16.77,,7.16,14.71,13.55,17.20,13.88,13.88,9.78
[22/10/2018 15:00],,,,,16.77,,7.32,14.71,13.55,17.20,13.91,13.91,9.78
[22/10/2018 15:30],,,,,16.77,,7.32,14.71,13.55,17.20,13.91,13.91,9.78
[22/10/2018 16:00],,,,,16.77,,7.32,14.71,13.55,17.20,13.91,13.91,9.78
[22/10/2018 16:30],,,,,16.77,,7.32,14.71,13.55,17.20,13.91,13.91,9.78
[22/10/2018 17:00],,,,,16.77,,7.32,14.71,13.55,17.20,13.91,13.91,9.78
[22/10/2018 17:30],,,,,16.77,,7.32,14.71,13.55,17.20,13.91,13.91,9.78
[22/10/2018 18:00],,,,,16.77,,7.32,14.71,13.55,17.20,13.91,13.91,9.78
[22/10/2018 18:30],,,,,16.77,,7.32,14.71,13.55,17.20,13.91,13.91,9.78
[22/10/2018 19:00],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[22/10/2018 19:30],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[22/10/2018 20:00],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[22/10/2018 20:30],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[22/10/2018 21:00],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[22/10/2018 21:30],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[22/10/2018 22:00],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[22/10/2018 22:30],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[22/10/2018 23:00],,,,,16.77,,7.40,,12.88,17.20,13.45,13.45,9.78
[22/10/2018 23:30],,,,,16.77,,7.40,,12.88,17.20,13.45,13.45,9.78
[23/10/2018 00:00],,,,,16.77,,7.40,,12.88,17.20,13.45,13.45,9.78
[23/10/2018 00:30],,,,,16.77,,7.40,,12.88,17.20,13.45,13.45,9.78
[23/10/2018 01:00],,,,,16.77,,7.40,,12.88,17.20,13.45,13.45,9.78
[23/10/2018 01:30],,,,,16.77,,7.40,,12.88,17.20,13.45,13.45,9.78
[23/10/2018 02:00],,,,,16.77,,7.40,,12.88,17.20,13.45,13.45,9.78
[23/10/2018 02:30],,,,,16.77,,7.40,,12.88,17.20,13.45,13.45,9.78
[23/10/2018 03:00],,,,,16.77,,7.40,,12.88,17.20,13.45,13.45,9.78
[23/10/2018 03:30],,,,,16.77,,7.40,,12.88,17.20,13.45,13.45,9.78
[23/10/2018 04:00],,,,,16.77,,7.40,,12.88,17.20,13.45,13.45,9.78
[23/10/2018 04:30],,,,,16.77,,7.40,,12.88,17.20,13.45,13.45,9.78
[23/10/2018 05:00],,,,,16.77,,7.40,,12.88,17.20,13.45,13.45,9.78
[23/10/2018 05:30],,,,,16.77,,7.40,,12.88,17.20,13.45,13.45,9.78
[23/10/2018 06:00],,,,,16.77,,7.40,,12.88,17.20,13.45,13.45,9.78
[23/10/2018 06:30],,,,,16.77,,7.40,14.71,13.03,17.20,13.63,13.63,9.78
[23/10/2018 07:00],,,,,16.77,,7.16,14.71,13.55,17.20,13.88,13.88,9.78
[23/10/2018 07:30],,,,,16.77,,7.16,14.71,13.55,17.20,13.88,13.88,9.78
[23/10/2018 08:00],,,,,16.77,,7.16,14.71,13.55,17.20,13.88,13.88,9.78
[23/10/2018 08:30],,,,,16.77,,7.16,14.71,13.55,17.20,13.88,13.88,9.78
[23/10/2018 09:00],,,,,16.77,,7.16,14.71,13.55,17.20,13.88,13.88,9.78
[23/10/2018 09:30],,,,,16.77,,7.16,14.71,13.55,17.20,13.88,13.88,9.78
[23/10/2018 10:00],,,,,16.77,,7.16,14.71,13.55,17.20,13.88,13.88,9.78
[23/10/2018 10:30],,,,,16.77,,7.16,14.71,13.55,17.20,13.88,13.88,9.78
[23/10/2018 11:00],,,,,16.77,,7.16,14.71,13.55,17.20,13.88,13.88,9.78
[23/10/2018 11:30],,,,,16.77,,7.16,14.71,13.55,17.20,13.88,13.88,9.78
[23/10/2018 12:00],,,,,16.77,,7.16,14.71,13.55,17.20,13.88,13.88,9.78
[23/10/2018 12:30],,,,,16.77,,7.16,14.71,13.55,17.20,13.88,13.88,9.78
[23/10/2018 13:00],,,,,16.77,,7.16,14.71,13.55,17.20,13.88,13.88,9.78
[23/10/2018 13:30],,,,,16.77,,7.16,14.71,13.55,17.20,13.88,13.88,9.78
[23/10/2018 14:00],,,,,16.77,,7.16,14.71,13.55,17.20,13.88,13.88,9.78
[23/10/2018 14:30],,,,,16.77,,7.16,14.71,13.55,17.20,13.88,13.88,9.78
[23/10/2018 15:00],,,,,16.77,,7.32,14.71,13.55,17.20,13.91,13.91,9.78
[23/10/2018 15:30],,,,,16.77,,7.32,14.71,13.55,17.20,13.91,13.91,9.78
[23/10/2018 16:00],,,,,16.77,,7.32,14.71,13.55,17.20,13.91,13.91,9.78
[23/10/2018 16:30],,,,,16.77,,7.32,14.71,13.55,17.20,13.91,13.91,9.78
[23/10/2018 17:00],,,,,16.77,,7.32,14.71,13.55,17.20,13.91,13.91,9.78
[23/10/2018 17:30],,,,,16.77,,7.32,14.71,13.55,17.20,13.91,13.91,9.78
[23/10/2018 18:00],,,,,16.77,,7.32,14.71,13.55,17.20,13.91,13.91,9.78
[23/10/2018 18:30],,,,,16.77,,7.32,14.71,13.55,17.20,13.91,13.91,9.78
[23/10/2018 19:00],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[23/10/2018 19:30],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[23/10/2018 20:00],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[23/10/2018 20:30],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[23/10/2018 21:00],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[23/10/2018 21:30],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
