Date (WET),Static FFR Accepted Volume,Static FFR Max of average Accepted Price,Static FFR Min of average Accepted  Price,Static FFR Average Accepted  Price,LFS Accepted Volume,LFS Max of average Accepted Price,LFS Min of average Accepted  Price,LFS Average Accepted  Price
,MW,GBP/MW/h,GBP/MW/h,GBP/MW/h,MW,GBP/MW/h,GBP/MW/h,GBP/MW/h
[20/10/2018 01:30],192.0,1.78,1.78,1.78,0.0,,,
[20/10/2018 02:00],192.0,1.78,1.78,1.78,0.0,,,
[20/10/2018 02:30],192.0,1.78,1.78,1.78,0.0,,,
[20/10/2018 03:00],191.0,1.78,1.78,1.78,0.0,,,
[20/10/2018 03:30],191.0,1.78,1.78,1.78,0.0,,,
[20/10/2018 04:00],191.0,1.78,1.78,1.78,0.0,,,
[20/10/2018 04:30],191.0,1.78,1.78,1.78,0.0,,,
[20/10/2018 05:00],191.0,1.78,1.78,1.78,0.0,,,
[20/10/2018 05:30],191.0,1.78,1.78,1.78,0.0,,,
[20/10/2018 06:00],181.0,1.78,1.78,1.78,0.0,,,
[20/10/2018 06:30],181.0,1.78,1.78,1.78,0.0,,,
[20/10/2018 07:00],294.0,2.05,2.05,2.05,0.0,,,
[20/10/2018 07:30],294.0,2.05,2.05,2.05,0.0,,,
[20/10/2018 08:00],294.0,2.05,2.05,2.05,0.0,,,
[20/10/2018 08:30],294.0,2.05,2.05,2.05,0.0,,,
[20/10/2018 09:00],294.0,2.05,2.05,2.05,0.0,,,
[20/10/2018 09:30],294.0,2.05,2.05,2.05,0.0,,,
[20/10/2018 10:00],294.0,2.05,2.05,2.05,0.0,,,
[20/10/2018 10:30],294.0,2.05,2.05,2.05,0.0,,,
[20/10/2018 11:00],282.0,2.07,2.07,2.07,0.0,,,
[20/10/2018 11:30],282.0,2.07,2.07,2.07,0.0,,,
[20/10/2018 12:00],282.0,2.07,2.07,2.07,0.0,,,
[20/10/2018 12:30],282.0,2.07,2.07,2.07,0.0,,,
[20/10/2018 13:00],282.0,2.07,2.07,2.07,0.0,,,
[20/10/2018 13:30],282.0,2.07,2.07,2.07,0.0,,,
[20/10/2018 14:00],282.0,2.07,2.07,2.07,0.0,,,
[20/10/2018 14:30],282.0,2.07,2.07,2.07,0.0,,,
[20/10/2018 15:00],302.0,2.43,2.43,2.43,0.0,,,
[20/10/2018 15:30],302.0,2.43,2.43,2.43,0.0,,,
[20/10/2018 16:00],302.0,2.43,2.43,2.43,0.0,,,
[20/10/2018 16:30],302.0,2.43,2.43,2.43,0.0,,,
[20/10/2018 17:00],302.0,2.43,2.43,2.43,0.0,,,
[20/10/2018 17:30],302.0,2.43,2.43,2.43,0.0,,,
[20/10/2018 18:00],302.0,2.43,2.43,2.43,0.0,,,
